AQSID,Parameter_name,Site_code,Site_name,Status,Agency_ID,Agency_name,EPA_region,Latitude,Longitude,Elevation,GMT_offset,Country_code,MSA_code,MSA_name,State_code,State_name,County_code,County_name,Extra_fields,Monitoring_Site_ID
80039SE02,PM2.5,SE02,Juarez,Active,SMA,Sistema Integral de Monitoreo Ambiental,MX,25.64611,-100.09556,118,-6,MX,NA,NA,80,MX,039,NUEVO LEON,|,80-039-SE02
480610006,PM2.5,0006,Brownsville C80,Active,TX1,Texas Commission on Environmental Quality,R6,25.8925,-97.4936,6.1,-6,US,15180,"Brownsville-Harlingen, TX",48,TX,061,CAMERON,|,48-061-0006
484790313,PM2.5,0313,Laredo C313,Active,TX1,Texas Commission on Environmental Quality,R6,27.5994,-99.5333,390.4,-6,US,29700,"Laredo, TX",48,TX,479,WEBB,|,48-479-0313
KM1010001,PM2.5,0001,Embassy Kathmandu,Active,KM1,U.S. Department of State Nepal - Kathmandu,DSNP,27.738703,85.336206,0,5.75,NP,NA,NA,na,N/A,N/A,N/A,|,na-N/A-0001
483550025,PM2.5,0025,Corpus Christi West C4,Active,TX1,Texas Commission on Environmental Quality,R6,27.765335,-97.434247,12.2,-6,US,18580,"Corpus Christi, TX",48,TX,355,NUECES,|,48-355-0025
120570112,PM2.5,0112,APOLLO BEACH,Active,FL4,Hillsborough County - Tampa ,R4,27.779712,-82.419835,0,-5,US,45300,"Tampa-St. Petersburg-Clearwater, FL",12,FL,057,HILLSBOROUGH,|,12-057-0112
211990003,PM2.5,0003,SOMERST,Active,KY1,Kentucky DEP,R4,37.097801,-84.611702,0,-5,US,43700,"Somerset, KY",21,KY,199,PULASKI,|,21-199-0003
060210003,PM2.5,0003,Willows-Colusa,Active,CA8,California Air Resources Board,R9,39.53387,-122.190834,13.7,-8,US,NA,NA,06,CA,021,GLENN,|,06-021-0003
100032004,PM2.5,2004,MLK,Active,DE1,Delaware Dept. of Natural Resources and Environment,R3,39.739444,-75.558056,0,-5,US,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10,DE,003,NEW CASTLE,|,10-003-2004
391130038,PM2.5,0038,Sinclair,Active,OH1,Ohio EPA-DAPC,R5,39.758235,-84.197375,0,-5,US,19380,"Dayton, OH",39,OH,113,MONTGOMERY,|,39-113-0038
261630033,PM2.5,0033,DEARBORN,Active,MI1,"Michigan Department of Environment, Great Lakes, and Energy",R5,42.3075,-83.15,390.4,-5,US,19820,"Detroit-Warren-Livonia, MI",26,MI,163,WAYNE,|,26-163-0033
160590004,PM2.5,0004,Salmon PM2.5,Active,ID1,Idaho Department of Environmental Quality,R10,45.181907,-113.890285,1200.2,-7,US,NA,NA,16,ID,059,LEMHI,|,16-059-0004
CC0050126,PM2.5,0126,Sainte-Anne-de-Bellevue,Active,QC2,Canada-Quebec2,CA,45.426509,-73.928944,0,-5,CA,NA,NA,na,N/A,N/A,N/A,|,na-N/A-0126
300750001,PM2.5,0001,Broadus,Active,MT1,Montana DEQ,R8,45.440295,-105.37028,0,-7,US,NA,NA,30,MT,075,POWDER RIVER,|,30-075-0001
530650005,PM2.5,0005,Colville-E 1st St,Active,WA1,Washington Department of Ecology,R10,48.54469,-117.903222,488.3,-8,US,NA,NA,53,WA,065,STEVENS,|,53-065-0005
380130004,PM2.5,0004,Lostwood NWR,Active,ND1,North Dakota Department of Environmental Quality,R8,48.641899,-102.402199,696.3,-6,US,NA,NA,38,ND,013,BURKE,|,38-013-0004
80039NE01,PM2.5,NE01,San Nicolas,Active,SMA,Sistema Integral de Monitoreo Ambiental,MX,25.745,-100.25472,152.5,-6,MX,NA,NA,80,MX,039,NUEVO LEON,|,80-039-NE01
840120115005,PM2.5,5005,Coconut Creek,Active,FL2,Broward County Natural Resources Division,R4,26.29405,-80.17634,0,-5,US,33100,"Miami-Fort Lauderdale-Miami Beach, FL",12,FL,011,BROWARD,|,12-011-5005
482730314,PM2.5,0314,Corpus Christi - National Seashore C314,Active,TX1,Texas Commission on Environmental Quality,R6,27.4269,-97.2986,390.4,-6,US,28780,"Kingsville, TX",48,TX,273,KLEBERG,|,48-273-0314
TT0328801,PM2.5,8801,Catawba Indian Nation,Active,CAT,Catawba Indian Nation,R4,34.91263,-80.874283,0,-5,US,16740,"Charlotte-Gastonia-Concord, NC-SC",45,SC,091,YORK,|,45-091-8801
100031003,PM2.5,1003,RIVER ROAD PARK; BELLEFONTE,Active,DE1,Delaware Dept. of Natural Resources and Environment,R3,39.7611,-75.4919,0,-5,US,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10,DE,003,NEW CASTLE,|,10-003-1003
000031101,PM2.5,1101,KENTVILLE,Active,NS1,Canada-Nova Scotia1,CA,45.067284,-64.477425,0,-4,CA,NA,NA,00,CC,003,NOVA SCOTIA,|,00-003-1101
410630001,PM2.5,0001,Enterprise - US Forest Service,Active,OR1,Oregon Dept. of Environmental Quality,R10,45.426351,-117.296066,1163.6,-8,US,NA,NA,41,OR,063,WALLOWA,|,41-063-0001
CC0050136,PM2.5,0136,St-Dominique,Active,QC2,Canada-Quebec2,CA,45.512189,-73.566872,0,-5,CA,NA,NA,na,N/A,N/A,N/A,|,na-N/A-0136
840410510035,PM2.5,0035,Portland SE 12th and Salmon,Active,OR1,Oregon Dept. of Environmental Quality,R10,45.51421,-122.653294,14.9,-8,US,38900,"Portland-Vancouver-Beaverton, OR-WA",41,OR,051,MULTNOMAH,|,41-051-0035
000106701,PM2.5,6701,Crofton Substation,Active,BC1,British Columbia Ministry of Environment,CA,48.874529,-123.653929,40,-8,CA,NA,NA,00,CC,010,BRITISH COLUMBIA,|,00-010-6701
000100134,PM2.5,0134,Vancouver Airport,Active,BC2,Metro Vancouver,CA,49.18639,-123.15222,0.9,-8,CA,NA,NA,00,CC,010,BRITISH COLUMBIA,|,00-010-0134
120830003,PM2.5,0003,YMCA - Marion County,Active,FL1,Florida Dept. of Environmental Protection,R4,29.170799,-82.1008,0,-5,US,36100,"Ocala, FL",12,FL,083,MARION,|,12-083-0003
482151046,PM2.5,1046,Edinburg C1046,Active,TX1,Texas Commission on Environmental Quality,R6,26.288622,-98.152066,9.8,-6,US,32580,"McAllen-Edinburg-Mission, TX",48,TX,215,HIDALGO,|,48-215-1046
121030018,PM2.5,0018,Azalea,Active,FL1,Florida Dept. of Environmental Protection,R4,27.7858,-82.74,0,-5,US,45300,"Tampa-St. Petersburg-Clearwater, FL",12,FL,103,PINELLAS,|,12-103-0018
840133030001,PM2.5,0001,Sandersville,Active,GA1,Georgia Department of Natural Resources,R4,32.9672,-82.807,0,-5,US,NA,NA,13,GA,303,WASHINGTON,|,13-303-0001
060250007,PM2.5,0007,Brawley - 220 Main Street,Active,CA0,Imperial County Air Pollution Control District,R9,32.978298,-115.5383,0,-8,US,20940,"El Centro, CA",06,CA,025,IMPERIAL,|,06-025-0007
840060731017,PM2.5,1017,San Diego - Rancho Carmel Drive,Active,CA4,San Diego APCD,R9,32.985442,-117.08218,219,-8,US,41740,"San Diego-Carlsbad-San Marcos, CA",06,CA,073,SAN DIEGO,|,06-073-1017
240230002,PM2.5,0002,Piney Run,Active,MD1,Maryland Department of the Environment,R3,39.705799,-79.011902,764.6,-5,US,NA,NA,24,MD,023,GARRETT,|,24-023-0002
840410150002,PM2.5,0002,Brookings CPFA,Active,OR1,Oregon Dept. of Environmental Quality,R10,42.054597,-124.276768,0,-8,US,NA,NA,41,OR,015,CURRY,|,41-015-0002
250130008,PM2.5,0008,CHICOPEE,Active,MA1,Massachusetts Dept. of Environmental Protection,R1,42.194401,-72.555603,0,-5,US,44140,"Springfield, MA",25,MA,013,HAMPDEN,|,25-013-0008
560150004,PM2.5,0004,Fort Laramie National Historic Site,Active,NPS,National Park Service,USEPA,42.209167,-104.548611,0,-7,US,NA,NA,56,WY,015,GOSHEN,|,56-015-0004
250250002,PM2.5,0002,BOSTON-KENMORE,Active,MA1,Massachusetts Dept. of Environmental Protection,R1,42.3489,-71.097702,0,-5,US,14460,"Boston-Cambridge-Quincy, MA-NH",25,MA,025,SUFFOLK,|,25-025-0002
000063301,PM2.5,3301,Dorset,Active,ON1,Ontario Ministry of the Environment,CA,45.224278,-78.932944,0,-5,CA,NA,NA,00,CC,006,ONTARIO,|,00-006-3301
CC0040209,PM2.5,0209,CASTLE ST. SAINT JO,Active,NB1,Canada-New Brunswick1,CA,45.280278,-66.056111,29.9,-4,CA,NA,NA,00,CC,004,NEW BRUNSWICK,|,00-004-0209
410670005,PM2.5,0005,Portland Near Road,Active,OR1,Oregon Dept. of Environmental Quality,R10,45.39916,-122.7455,0,-8,US,38900,"Portland-Vancouver-Beaverton, OR-WA",41,OR,067,WASHINGTON,|,41-067-0005
840410510031,PM2.5,0031,Gresham Centennial HS,Active,OR1,Oregon Dept. of Environmental Quality,R10,45.4962,-122.4834,80.8,-8,US,NA,NA,41,OR,051,MULTNOMAH,|,41-051-0031
000100304,PM2.5,0304,Victoria Topaz,Active,BC1,British Columbia Ministry of Environment,CA,48.441942,-123.363165,31.1,-8,CA,NA,NA,00,CC,010,BRITISH COLUMBIA,|,00-010-0304
