msa_key,name,name_short,state_code,xmin,ymin,xmax,ymax,gmt_offset,target_aqsids
"Albuquerque, NM","Albuquerque, NM MSA","Albuquerque","NM",-106.9,34.8,-106.3,35.4,-7,
"Atlanta, GA","Atlanta-Sandy Springs, GA MSA","Atlanta","GA",-84.9,33.4,-84.0,34.2,-5,
"Austin, TX","Austin-Round Rock, TX MSA","Austin","TX",-98.0,30.1,-97.4,30.6,-6,
"Baltimore, MD","Baltimore-Columbia-Towson, MD","Baltimore","MD",-77.0,39.0,-76.2,39.6,-5,
"Baton Rouge, LA","Baton Rouge, LA MSA","BatonRouge","LA",-91.5,30.1,-90.7,30.8,-6,
"Birmingham, AL","Birmingham-Hoover, AL MSA","Birmingham","AL",-87.4,33.2,-86.4,33.9,-6,
"Boston, MA","Boston-Cambridge, MA MSA","Boston","MA",-71.3,42.2,-70.8,42.6,-5,
"Charlotte, NC-SC","Charlotte-Concord, NC-SC MSA","Charlotte","NC;SC",-81.2,35,-80.5,35.6,-5,
"Chattanooga, TN-GA","Chattanooga, TN-GA MSA","Chattanooga","TN;GA",-85.5,34.8,-85,35.2,-5,
"Chicago, IL","Chicago-Naperville, IL-IN-WI","Chicago","IL;IN;WI",-88.3,41.5,-87.4,42.2,-6,
"Cincinnati, OH-KY-IN","Cincinnati, OH-KY-IN MSA","Cincinnati","OH;KY;IN",-84.8,38.8,-84,39.5,-5,
"Cleveland, OH","Cleveland-Elyria, OH MSA","Cleveland","OH",-82.1,41.2,-81.3,41.8,-5,
"Columbus, OH","Columbus, OH MSA","Columbus","OH",-83.3,39.8,-82.6,40.2,-5,
"Dallas-Fort Worth, TX","Dallas-Fort Worth, TX MSA","DFW","TX",-97.6,32.5,-96.5,33.3,-6,
"Denver, CO","Denver-Aurora, CO MSA","Denver","CO",-105.2,39.5,-104.5,40,-7,
"Detroit, MI","Detroit-Warren-Dearborn, MI","Detroit","MI",-83.4,42.1,-82.7,42.6,-5,
"El Paso, TX","El Paso, TX MSA","ElPaso","TX",-106.9,31.5,-106.2,32,-7,
"Gulfport-Biloxi, MS","Gulfport-Biloxi, MS MSA","MSCoast","MS",-89.7,30,-88.3,30.8,-6,
"Houston, TX","Houston-The Woodlands, TX MSA","Houston","TX",-95.9,29.5,-95,30.1,-6,
"Huntsville, AL","Huntsville, AL MSA","Huntsville","AL",-86.8,34.4,-85.9,35,-6,
